mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,0.00012079,0.00012079,0,1,0,[],5,2,11
2,2,10,6.256900138,3.128450069,0,1,1208,15,5,2,11
2,3,10,6.321175501,2.1070585,0,1,1208,15,4,2,11
2,4,10,6.383034667,1.595758667,0,1,1208,15,4,2,11
2,5,10,6.442514741,1.288502948,0,1,1208,15,0,2,11
2,6,9,6.501798629,1.083633105,1,1,1208,15,0,2,11
2,7,9,12.101594,1.728799142,1,1,1181,18,0,2,11
2,8,9,12.15370311,1.519212888,1,1,1181,18,0,2,11
2,9,9,12.21237673,1.356930748,1,1,1181,18,0,2,11
2,10,9,12.26931508,1.226931508,1,1,1181,18,3,2,11
2,11,9,12.32426947,1.120388133,1,1,1181,18,4,2,11
2,12,8,12.3755587,1.031296559,0,12,1181,18,3,2,11
2,13,8,18.15396048,1.396458498,0,12,1342,114,3,2,11
2,14,8,18.20508195,1.300362996,0,8,1342,114,4,2,11
2,15,8,18.25666053,1.217110702,0,4,1342,114,5,2,11
2,16,8,18.30950425,1.144344016,0,4,1342,114,5,2,11
2,17,8,18.36588128,1.080345958,0,1,1342,114,5,2,11
2,18,8,18.42264002,1.023480001,0,1,1342,114,5,2,11
2,19,8,18.47440729,0.972337226,0,1,1342,114,3,2,11
2,20,8,18.52848694,0.926424347,0,1,1342,114,3,2,11
2,21,8,18.60000892,0.885714711,0,1,1342,114,3,2,11
2,22,8,18.67506382,0.848866537,0,1,1342,114,3,2,11
2,23,8,18.74320328,0.814921882,0,1,1342,114,3,2,11
2,24,8,18.82585573,0.784410655,0,1,1342,114,3,2,11
2,25,8,18.89877351,0.75595094,0,1,1342,114,8,2,11
2,26,7,18.97634802,0.729859539,-1,5,1342,114,8,2,11
2,27,7,21.16702397,0.783963851,-1,5,451,72,8,2,11
2,28,7,21.21853782,0.757804922,-1,4,451,72,8,2,11
2,29,7,21.27740131,0.733703493,-1,3,451,72,3,2,11
2,30,7,21.33723586,0.711241195,-1,2,451,72,2,2,11
2,31,7,21.41496235,0.690805237,-1,1,451,72,1,2,11
2,32,7,21.49473004,0.671710314,-1,1,451,72,2,2,11
2,33,7,21.56483254,0.653479774,-1,3,451,72,7,2,11
2,34,7,21.6654314,0.63721857,-1,2,451,72,8,2,11
2,35,7,21.74569251,0.6213055,-1,1,451,72,9,2,11
2,36,7,21.81555146,0.60598754,-1,1,451,72,7,2,11
2,37,6,21.89119215,0.591653842,1,4,451,72,10,2,11
2,38,6,23.72189882,0.624260495,1,4,302,138,10,2,11
2,39,6,23.77484123,0.609611313,1,3,302,138,9,2,11
2,40,6,23.82916048,0.595729012,1,3,302,138,6,2,11
