mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,7.381620711801396e-05,7.381620711801396e-05,0,5,0,[],0,2,13
2,2,10,7.122303191978586,3.561151595989293,0,5,929,54,0,2,13
2,3,10,7.190497525183367,2.3968325083944557,0,4,929,54,0,2,13
2,4,10,7.267000326449216,1.816750081612304,0,3,929,54,0,2,13
2,5,10,7.373755140983035,1.474751028196607,0,2,929,54,0,2,13
2,6,10,7.473648995645634,1.245608165940939,0,1,929,54,0,2,13
2,7,10,7.556724991996665,1.0795321417138093,0,1,929,54,0,2,13
2,8,10,7.637137683805317,0.9546422104756647,0,1,929,54,0,2,13
2,9,9,7.711594947181938,0.8568438830202153,1,4,929,54,0,2,13
2,10,9,7.83562472787675,0.783562472787675,1,4,7,39,0,2,13
2,11,9,7.9083285602800135,0.7189389600254558,1,3,7,39,1,2,13
2,12,9,7.980522784536808,0.6650435653780673,1,2,7,39,2,2,13
2,13,9,8.04874317052057,0.6191340900400438,1,1,7,39,4,2,13
2,14,9,8.11649658017802,0.5797497557270014,1,1,7,39,4,2,13
2,15,9,8.201077716623923,0.5467385144415948,1,1,7,39,4,2,13
2,16,8,8.277843414114052,0.5173652133821283,0,6,7,39,5,2,13
2,17,8,8.473613469128837,0.4984478511252257,0,6,9,87,5,2,13
2,18,8,8.601000505660755,0.4778333614255975,0,6,9,87,12,2,13
2,19,8,8.717172610318718,0.45879855843782724,0,5,9,87,11,2,13
2,20,8,8.85783866935037,0.4428919334675185,0,4,9,87,13,2,13
2,21,8,8.945835088277478,0.4259921470608323,0,3,9,87,12,2,13
2,22,8,9.025116852634829,0.41023258421067404,0,2,9,87,14,2,13
2,23,8,9.09361789810127,0.39537469122179436,0,1,9,87,12,2,13
2,24,8,9.16227841815421,0.38176160075642546,0,1,9,87,12,2,13
2,25,7,9.236754629006453,0.36947018516025815,1,12,9,87,12,2,13
2,26,7,10.273347730783213,0.3951287588762774,1,12,158,831,12,2,13
2,27,7,10.352455020469195,0.3834242600173776,1,24,158,831,18,2,13
2,28,7,10.430019669848134,0.37250070249457623,1,36,158,831,21,2,13
2,29,7,10.503061398900021,0.36217453099655245,1,33,158,831,16,2,13
2,30,7,10.622548127574932,0.3540849375858311,1,30,158,831,16,2,13
2,31,7,10.709970990625342,0.34548293518146267,1,27,158,831,16,2,13
2,32,7,10.781068234991329,0.33690838234347903,1,24,158,831,16,2,13
2,33,7,10.847226898783772,0.32870384541769004,1,21,158,831,16,2,13
2,34,7,10.923862727118069,0.32129008020935496,1,18,158,831,13,2,13
2,35,7,10.996731560454888,0.3141923302987111,1,15,158,831,13,2,13
2,36,7,11.069088417210784,0.3074746782558551,1,12,158,831,13,2,13
2,37,7,11.140249609307004,0.30108782727856764,1,9,158,831,15,2,13
2,38,7,11.21088500895466,0.29502328970933317,1,6,158,831,16,2,13
2,39,7,11.285444115012757,0.28937036192340404,1,3,158,831,17,2,13
2,40,7,11.363193897018098,0.28407984742545245,1,2,158,831,10,2,13
2,41,7,11.446525289550975,0.27918354364758474,1,1,158,831,3,2,13
2,42,7,11.522685457299287,0.27434965374522113,1,1,158,831,4,2,13
2,43,7,11.600237475027809,0.26977296453553046,1,1,158,831,9,2,13
2,44,7,11.682951495646611,0.26552162490105935,1,1,158,831,9,2,13
2,45,6,11.746292906657223,0.2610287312590494,0,3,158,831,8,2,13
2,46,6,13.554386557713412,0.2946605773415959,0,3,281,243,8,2,13
2,47,6,13.628757373232494,0.28997356113260625,0,3,281,243,9,2,13
2,48,6,13.708086901017984,0.28558514377120797,0,4,281,243,9,2,13
2,49,6,13.776794395020906,0.28115906928614093,0,5,281,243,4,2,13
2,50,6,13.857930248815867,0.27715860497631734,0,10,281,243,3,2,13
2,51,6,13.938428993742972,0.2733025292890779,0,15,281,243,10,2,13
2,52,6,14.009217157412847,0.26940802225793936,0,12,281,243,14,2,13
2,53,6,14.08351297250759,0.26572665985863375,0,9,281,243,14,2,13
2,54,6,14.162544867030155,0.2622693493894473,0,6,281,243,14,2,13
2,55,6,14.237478580470905,0.25886324691765283,0,3,281,243,13,2,13
2,56,6,14.314701385810457,0.25561966760375815,0,3,281,243,12,2,13
2,57,6,14.420283430550972,0.2529874286061574,0,3,281,243,11,2,13
2,58,6,14.49464082494149,0.2499076004300257,0,2,281,243,5,2,13
2,59,6,14.57152375993705,0.2469749789819839,0,1,281,243,6,2,13
2,60,6,14.641013232048541,0.24401688720080902,0,1,281,243,10,2,13
2,61,5,14.709530067078004,0.2411398371652132,-1,4,281,243,9,2,13
2,62,5,15.097250681813064,0.2435040432550494,-1,4,49,48,9,2,13
2,63,5,15.186975663151776,0.2410631057643139,-1,3,49,48,10,2,13
2,64,5,15.26971099968066,0.2385892343700103,-1,2,49,48,6,2,13
2,65,5,15.351734226917342,0.2361805265679591,-1,1,49,48,5,2,13
2,66,5,15.429494666877728,0.23378022222542014,-1,1,49,48,11,2,13
2,67,5,15.50285692405893,0.23138592423968551,-1,1,49,48,16,2,13
2,68,5,15.882892363733118,0.23357194652548705,-1,1,49,48,23,2,13
2,69,5,15.96937337934939,0.23144019390361434,-1,1,49,48,24,2,13
2,70,5,16.034594932576596,0.22906564189395137,-1,1,49,48,25,2,13
2,71,4,16.11154378899775,0.22692315195771479,1,11,49,48,17,2,13
2,72,4,18.859264861630137,0.26193423418930745,1,11,366,345,17,2,13
2,73,4,18.93185382496243,0.25934046335564975,1,11,366,345,17,2,13
2,74,4,19.003475677559763,0.25680372537242924,1,11,366,345,16,2,13
2,75,4,19.079657950696316,0.25439543934261755,1,11,366,345,15,2,13
2,76,4,19.1647001423824,0.25216710713661056,1,11,366,345,13,2,13
2,77,4,19.250250757997733,0.25000325659737316,1,10,366,345,7,2,13
2,78,4,19.319883125654542,0.24769080930326334,1,9,366,345,0,2,13
2,79,4,19.395254604730013,0.24550955195860777,1,8,366,345,0,2,13
2,80,4,19.500942044803693,0.24376177556004616,1,7,366,345,3,2,13
2,81,4,19.566660969266024,0.2415637156699509,1,6,366,345,3,2,13
2,82,4,19.642639557039615,0.23954438484194654,1,5,366,345,3,2,13
2,83,4,19.708876773908074,0.23745634667359125,1,4,366,345,6,2,13
2,84,4,19.785715498127175,0.2355442321205616,1,3,366,345,6,2,13
2,85,4,19.852750877406294,0.23356177502830933,1,2,366,345,6,2,13
2,86,4,19.91900704175039,0.23161636095058594,1,1,366,345,6,2,13
2,87,4,19.99776380313733,0.22985935405904978,1,1,366,345,3,2,13
2,88,4,20.077342411279446,0.2281516183099937,1,1,366,345,4,2,13
2,89,4,20.161623151288893,0.22653509158751564,1,1,366,345,6,2,13
2,90,4,20.285051744371728,0.22538946382635253,1,1,366,345,10,2,13
2,91,3,20.352729758865763,0.22365637097654684,3,1,366,345,12,2,13
2,92,3,25.631893575187362,0.2786075388607322,3,1,819,15,12,2,13
2,93,3,25.701246072839652,0.2763574846541898,3,1,819,15,15,2,13
2,94,3,25.775934653314522,0.2742120707799417,3,1,819,15,14,2,13
2,95,3,25.848147430307876,0.27208576242429344,3,1,819,15,14,2,13
2,96,2,25.929225652197815,0.27009610054372724,2,4,819,15,12,2,13
2,97,2,33.19917941640989,0.3422595816124731,2,4,1217,159,12,2,13
2,98,2,33.27804354682537,0.33957187292678953,2,4,1217,159,11,2,13
2,99,2,33.354457137060166,0.33691370845515317,2,4,1217,159,8,2,13
2,100,2,33.42852952983819,0.33428529529838186,2,4,1217,159,3,2,13
2,101,2,33.502134946289885,0.33170430639890974,2,3,1217,159,3,2,13
2,102,2,33.5802960464119,0.3292185886903128,2,2,1217,159,3,2,13
2,103,2,33.6508532877226,0.32670731347303494,2,2,1217,159,5,2,13
2,104,2,33.71333061489695,0.32416664052785527,2,2,1217,159,9,2,13
2,105,2,33.794096203439096,0.32184853527084856,2,2,1217,159,12,2,13
2,106,2,33.863164488957025,0.3194638159335568,2,2,1217,159,13,2,13
2,107,2,33.935895558356506,0.3171579024145468,2,2,1217,159,13,2,13
2,108,2,34.01761917863489,0.31497795535773043,2,2,1217,159,12,2,13
2,109,2,34.09729607680681,0.31281923006244783,2,2,1217,159,13,2,13
2,110,2,34.18756500859156,0.31079604553265056,2,2,1217,159,11,2,13
2,111,2,34.255832368525304,0.3086111024191469,2,2,1217,159,8,2,13
2,112,2,34.32653171590319,0.30648689032056414,2,2,1217,159,5,2,13
2,113,2,34.412722203559895,0.3045373646332734,2,4,1217,159,3,2,13
2,114,2,34.488847239530486,0.3025337477151797,2,2,1217,159,3,2,13
2,115,2,34.558020130903415,0.300504522877421,2,2,1217,159,4,2,13
2,116,2,34.628105264279824,0.2985181488299985,2,1,1217,159,5,2,13
2,117,2,34.7046155655881,0.29662064585972736,2,1,1217,159,10,2,13
2,118,2,34.77769005798325,0.29472618693206143,2,1,1217,159,11,2,13
2,119,1,34.86331725297923,0.29296905254604394,1,10,1217,159,8,2,13
2,120,1,41.3484085502063,0.3445700712517192,1,10,1017,774,8,2,13
2,121,1,41.46562908184879,0.3426911494367669,1,10,1017,774,11,2,13
2,122,1,41.586073052781785,0.3408694512523097,1,11,1017,774,10,2,13
2,123,1,41.7101703338585,0.3391070758850285,1,12,1017,774,5,2,13
2,124,1,41.84075199372842,0.33742541930426145,1,13,1017,774,4,2,13
2,125,1,41.95841779104806,0.3356673423283845,1,13,1017,774,3,2,13
2,126,1,42.06887210019744,0.3338799373031543,1,26,1017,774,3,2,13
2,127,1,42.17577336292827,0.33209270364510446,1,24,1017,774,5,2,13
2,128,1,42.290141115272135,0.33039172746306356,1,22,1017,774,8,2,13
2,129,1,42.37809569185724,0.3285123697043197,1,20,1017,774,11,2,13
2,130,1,42.47350373166587,0.3267192594743529,1,18,1017,774,13,2,13
