mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,0.00011842176939492002,0.00011842176939492002,0,1,0,[],15,6,29
2,2,10,0.24307212912078158,0.12153606456039079,0,1,2,6,15,6,29
2,3,9,0.6138100309554504,0.2046033436518168,1,1,2,6,17,6,29
2,4,9,4.584019850646464,1.146004962661616,1,1,224,150,17,6,29
2,5,9,4.75729103097203,0.9514582061944059,1,1,224,150,15,6,29
2,6,9,4.942175439482924,0.8236959065804873,1,1,224,150,14,6,29
2,7,9,5.127274191396422,0.7324677416280603,1,4,224,150,14,6,29
2,8,9,5.338516127860775,0.6673145159825968,1,4,224,150,13,6,29
2,9,9,5.60535945349143,0.6228177170546033,1,5,224,150,10,6,29
2,10,9,5.7988523351588706,0.579885233515887,1,6,224,150,13,6,29
2,11,9,6.006255432598672,0.5460232211453339,1,6,224,150,13,6,29
2,12,9,6.21618880851121,0.5180157340426008,1,1,224,150,13,6,29
2,13,9,6.451348784479486,0.4962575988061143,1,1,224,150,13,6,29
2,14,9,6.681394518966827,0.4772424656404876,1,1,224,150,13,6,29
2,15,9,6.9368551441232436,0.46245700960821623,1,2,224,150,18,6,29
2,16,9,7.125040756825636,0.44531504730160226,1,2,224,150,14,6,29
2,17,9,7.388851300942087,0.43463831182012275,1,2,224,150,18,6,29
2,18,9,7.583369715132489,0.42129831750736046,1,2,224,150,19,6,29
2,19,9,7.770849139350056,0.4089920599657924,1,2,224,150,19,6,29
2,20,9,7.939415817516793,0.39697079087583964,1,2,224,150,15,6,29
2,21,9,8.131821192601958,0.3872295806000932,1,2,224,150,17,6,29
2,22,9,8.305134215286042,0.3775061006948201,1,2,224,150,14,6,29
2,23,9,8.47191430369184,0.3683441001605148,1,1,224,150,10,6,29
2,24,9,8.665021130391054,0.36104254709962724,1,1,224,150,17,6,29
2,25,8,8.860982316471915,0.35443929265887664,2,18,224,150,15,6,29
2,26,8,14.659914783694745,0.5638428762959518,2,18,372,1155,15,6,29
2,27,8,14.841122985744388,0.5496712216942365,2,21,372,1155,17,6,29
2,28,8,15.020756178261077,0.5364555777950385,2,24,372,1155,10,6,29
2,29,8,15.211531280320905,0.524535561390376,2,32,372,1155,8,6,29
2,30,8,15.393682514394165,0.5131227504798055,2,40,372,1155,4,6,29
2,31,8,15.589154618567427,0.502875955437659,2,48,372,1155,3,6,29
2,32,8,15.783551847813811,0.4932359952441816,2,42,372,1155,5,6,29
2,33,8,15.979669745369506,0.4842324165263487,2,36,372,1155,8,6,29
2,34,8,16.170621690604968,0.4756065203119108,2,30,372,1155,6,6,29
2,35,8,16.35124923124534,0.4671785494641526,2,24,372,1155,7,6,29
2,36,8,16.528069906738907,0.4591130529649696,2,18,372,1155,9,6,29
2,37,8,16.740669351419754,0.4524505230113447,2,15,372,1155,12,6,29
2,38,8,16.929681548072523,0.4455179354755927,2,12,372,1155,12,6,29
2,39,8,17.115509778085496,0.4388592250791153,2,9,372,1155,17,6,29
2,40,8,17.30227551377284,0.432556887844321,2,6,372,1155,18,6,29
2,41,8,17.492291532290842,0.4266412568851425,2,3,372,1155,16,6,29
2,42,8,17.670581821942598,0.4207281386176809,2,2,372,1155,14,6,29
2,43,8,17.826739477633673,0.4145753366891552,2,1,372,1155,16,6,29
2,44,8,18.008702815832827,0.40928870035983694,2,1,372,1155,14,6,29
2,45,8,18.23020718283294,0.40511571517406536,2,1,372,1155,15,6,29
2,46,8,18.447575472167323,0.4010342493949418,2,1,372,1155,11,6,29
2,47,7,18.673569603184426,0.39730999155711544,4,2,372,1155,11,6,29
2,48,7,29.601260086574193,0.6166929184702957,4,2,664,51,11,6,29
2,49,7,29.801679062794314,0.6081975318937615,4,3,664,51,11,6,29
2,50,7,29.976329067254866,0.5995265813450973,4,3,664,51,15,6,29
2,51,7,30.151929603784424,0.5912143059565573,4,3,664,51,14,6,29
2,52,7,30.358814803352736,0.5838233616029372,4,2,664,51,11,6,29
2,53,7,30.585338279679043,0.5770818543335668,4,1,664,51,13,6,29
2,54,7,30.790979655929476,0.570203326961657,4,1,664,51,12,6,29
2,55,7,30.99963920834255,0.5636298037880464,4,1,664,51,7,6,29
2,56,6,31.250595858869644,0.5580463546226723,6,3,664,51,8,6,29
2,57,6,47.35453385638911,0.8307812957261248,6,3,1001,36,8,6,29
2,58,6,47.547076995466014,0.8197771895770003,6,3,1001,36,7,6,29
2,59,6,47.72002488436114,0.8088139810908668,6,2,1001,36,7,6,29
2,60,6,47.91179986089388,0.7985299976815646,6,1,1001,36,9,6,29
2,61,6,48.116948997322865,0.7888024425790634,6,1,1001,36,10,6,29
2,62,6,48.31034832579249,0.7791991665450402,6,1,1001,36,14,6,29
2,63,5,48.503967524013945,0.7699042464129198,8,1,1001,36,16,6,29
2,64,5,69.43416104886948,1.0849087663885857,8,1,1159,1443,16,6,29
2,65,5,69.68252307842913,1.0720388165912174,8,1,1159,1443,14,6,29
2,66,5,69.91093380302036,1.0592565727730356,8,2,1159,1443,10,6,29
2,67,5,70.13975821432601,1.0468620629003882,8,3,1159,1443,9,6,29
2,68,5,70.35209515741803,1.0345896346679122,8,4,1159,1443,7,6,29
2,69,5,70.55901785721333,1.022594461698744,8,4,1159,1443,7,6,29
2,70,5,70.78765279368795,1.0112521827669707,8,4,1159,1443,8,6,29
2,71,5,70.95876672411438,0.9994192496354138,8,4,1159,1443,9,6,29
2,72,5,71.13644556269682,0.9880061883707891,8,8,1159,1443,9,6,29
2,73,5,71.3366296690743,0.9772141050558123,8,12,1159,1443,8,6,29
2,74,5,71.50856742027648,0.9663319921658984,8,16,1159,1443,7,6,29
2,75,5,71.69565250000196,0.9559420333333594,8,20,1159,1443,8,6,29
2,76,5,71.91836950592068,0.9462943356042195,8,24,1159,1443,8,6,29
2,77,5,72.13596161239921,0.9368306702908988,8,28,1159,1443,7,6,29
2,78,5,72.37223120034673,0.9278491179531633,8,32,1159,1443,4,6,29
2,79,5,72.570438847393,0.918613149967,8,36,1159,1443,6,6,29
2,80,5,72.74184212167599,0.9092730265209499,8,40,1159,1443,7,6,29
2,81,5,72.9252419159379,0.900311628591826,8,44,1159,1443,8,6,29
2,82,5,73.1825124204699,0.8924696636642672,8,48,1159,1443,6,6,29
2,83,5,73.4064393021326,0.8844149313509951,8,36,1159,1443,7,6,29
2,84,5,73.64424600464685,0.8767172143410339,8,24,1159,1443,3,6,29
2,85,5,73.9112330153577,0.8695439178277375,8,12,1159,1443,3,6,29
2,86,5,74.20512229416123,0.8628502592344329,8,12,1159,1443,4,6,29
2,87,5,74.4382075207297,0.8556115806980426,8,11,1159,1443,7,6,29
2,88,5,74.65475396298449,0.8483494768520964,8,10,1159,1443,8,6,29
2,89,5,74.8788612404759,0.841335519555909,8,9,1159,1443,9,6,29
2,90,5,75.07671559591014,0.834185728843446,8,9,1159,1443,9,6,29
2,91,5,75.29239361185604,0.8273889407896269,8,8,1159,1443,11,6,29
2,92,5,75.50501476719462,0.8207066822521155,8,7,1159,1443,12,6,29
2,93,5,75.72976191698001,0.8142985152363442,8,1,1159,1443,15,6,29
2,94,5,75.94814152822502,0.8079589524279258,8,1,1159,1443,16,6,29
2,95,5,76.15900175185268,0.8016737026510808,8,1,1159,1443,16,6,29
2,96,5,76.38037072329647,0.7956288617010049,8,1,1159,1443,18,6,29
2,97,5,76.60430076287302,0.7897350594110621,8,1,1159,1443,18,6,29
2,98,5,76.79412888551693,0.7836135600562951,8,1,1159,1443,16,6,29
2,99,5,76.99768367019063,0.777754380506976,8,1,1159,1443,22,6,29
2,100,5,77.2001541061959,0.772001541061959,8,1,1159,1443,22,6,29
2,101,5,77.40983050686886,0.7664339654145431,8,1,1159,1443,24,6,29
2,102,5,77.62290284914883,0.7610088514622434,8,1,1159,1443,17,6,29
2,103,5,77.81628717752766,0.7554979337624044,8,1,1159,1443,18,6,29
2,104,4,78.03104466158611,0.7502985063614049,7,4,1159,1443,16,6,29
2,105,4,97.37996177345285,0.9274282073662176,7,4,1101,387,16,6,29
