mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,0.00014842195097496642,0.00014842195097496642,0,8,0,[],0,1,6
2,2,10,0.7264622917454501,0.36323114587272504,0,8,133,84,0,1,6
2,3,10,0.7894685941520173,0.2631561980506724,0,6,133,84,0,1,6
2,4,10,0.8518168662599802,0.21295421656499505,0,4,133,84,0,1,6
2,5,10,0.9079562849985675,0.1815912569997135,0,2,133,84,0,1,6
2,6,10,0.959848704347421,0.1599747840579035,0,2,133,84,0,1,6
2,7,10,1.018632481196597,0.14551892588522813,0,1,133,84,0,1,6
2,8,10,1.0757828271065857,0.1344728533883232,0,1,133,84,7,1,6
2,9,10,1.1495023522510803,0.12772248358345337,0,1,133,84,7,1,6
2,10,10,1.205612955025781,0.1205612955025781,0,1,133,84,7,1,6
2,11,10,1.2703367678278066,0.11548516071161878,0,1,133,84,7,1,6
2,12,9,1.3234666946668372,0.11028889122223644,1,7,133,84,0,1,6
2,13,9,2.112864235757218,0.1625280181351706,1,7,141,90,0,1,6
2,14,9,2.172527886352998,0.15518056331092844,1,6,141,90,0,1,6
2,15,9,2.223576353225297,0.14823842354835312,1,5,141,90,0,1,6
2,16,9,2.272289937544359,0.14201812109652243,1,4,141,90,0,1,6
2,17,9,2.3242541994333137,0.13672083526078316,1,3,141,90,0,1,6
2,18,9,2.3722631742244764,0.13179239856802646,1,2,141,90,0,1,6
2,19,9,2.4262844222478193,0.12769918011830628,1,1,141,90,0,1,6
2,20,9,2.4752466922826115,0.12376233461413058,1,1,141,90,0,1,6
2,21,8,2.5270329267782414,0.12033490127515435,2,4,141,90,2,1,6
2,22,8,3.2640063347751833,0.14836392430796289,2,4,164,66,2,1,6
2,23,8,3.312527286349366,0.1440229254934507,2,4,164,66,9,1,6
2,24,8,3.362485878204003,0.14010357825850012,2,4,164,66,16,1,6
2,25,8,3.415855411756444,0.13663421647025775,2,3,164,66,15,1,6
2,26,8,3.4769720974627005,0.1337296960562577,2,2,164,66,15,1,6
2,27,8,3.5229288229902465,0.13047884529593506,2,1,164,66,15,1,6
2,28,8,3.568745021351448,0.1274551793339803,2,1,164,66,15,1,6
2,29,8,3.6159037278383557,0.12468633544270193,2,1,164,66,15,1,6
2,30,8,3.66988352824241,0.12232945094141366,2,1,164,66,9,1,6
2,31,7,3.721755815890466,0.1200566392222731,1,1,164,66,7,1,6
2,32,7,4.976976044855009,0.15553050140171903,1,1,268,9,7,1,6
2,33,7,5.047214364718522,0.15294588983995522,1,1,268,9,6,1,6
2,34,6,5.117443210840486,0.15051303561295548,2,3,268,9,8,1,6
2,35,6,7.050215567094222,0.20143473048840635,2,3,454,78,8,1,6
2,36,6,7.098784676854622,0.19718846324596173,2,3,454,78,8,1,6
2,37,6,7.163035986796766,0.1935955672107234,2,3,454,78,7,1,6
2,38,6,7.236112086994213,0.1904240022893214,2,6,454,78,4,1,6
2,39,6,7.283211977335656,0.1867490250598886,2,4,454,78,4,1,6
2,40,6,7.338061388266299,0.18345153470665748,2,2,454,78,4,1,6
2,41,6,7.384989567042121,0.1801216967571249,2,1,454,78,5,1,6
2,42,6,7.435177107650924,0.17702802637264106,2,1,454,78,6,1,6
2,43,6,7.4858892566981385,0.17409044783018926,2,1,454,78,6,1,6
2,44,6,7.539507475966312,0.171352442635598,2,1,454,78,10,1,6
2,45,5,7.588146454570657,0.1686254767682368,4,2,454,78,12,1,6
2,46,5,10.103333257017093,0.21963767950037158,4,2,603,15,12,1,6
2,47,5,10.153365665107986,0.21602905670442524,4,1,603,15,10,1,6
2,48,5,10.202185039541044,0.21254552165710508,4,1,603,15,8,1,6
2,49,4,10.259261174475542,0.2093726770301131,6,4,603,15,6,1,6
2,50,4,13.456195392761595,0.2691239078552319,6,4,784,66,6,1,6
2,51,4,13.500823820775759,0.26472203570148545,6,4,784,66,12,1,6
2,52,4,13.549021480919487,0.26055810540229785,6,3,784,66,10,1,6
2,53,4,13.60005257926561,0.25660476564652096,6,2,784,66,10,1,6
2,54,4,13.655634626209578,0.25288212270758476,6,1,784,66,10,1,6
2,55,4,13.705324795386916,0.2491877235524894,6,1,784,66,4,1,6
2,56,4,13.759658282142235,0.24570818360968277,6,1,784,66,6,1,6
2,57,4,13.805938299100228,0.24220944384386367,6,1,784,66,7,1,6
2,58,4,13.854157275162452,0.23886478060624916,6,1,784,66,8,1,6
2,59,4,13.900710056929286,0.2356052552021913,6,1,784,66,7,1,6
2,60,4,13.95074720189095,0.23251245336484916,6,1,784,66,6,1,6
2,61,4,14.018515243644886,0.22981172530565389,6,1,784,66,4,1,6
2,62,3,14.068879627429313,0.2269174133456341,8,5,784,66,5,1,6
2,63,3,18.933062884327974,0.30052480768774564,8,5,1044,81,5,1,6
