mode,total_stepcount,number_closed_box,total_time,average_steptime,score,goal_dist,planning_steps,path_cost,crowdedness,branch_complex,map_complex
2,1,10,0.000134211338647576,0.000134211338647576,0,1,0,[],0,1,4
2,2,10,0.9779186821393919,0.48895934106969596,0,1,255,6,0,1,4
2,3,9,1.0257180503987262,0.3419060167995754,1,1,255,6,0,1,4
2,4,9,1.7302004722660163,0.43255011806650406,1,1,176,12,0,1,4
2,5,9,1.7841506672277225,0.3568301334455445,1,1,176,12,0,1,4
2,6,9,1.8365033525202914,0.3060838920867152,1,1,176,12,0,1,4
2,7,8,1.8897809118318347,0.2699687016902621,3,9,176,12,0,1,4
2,8,8,3.181985048856874,0.39774813110710927,3,9,300,87,0,1,4
2,9,8,3.226153210927329,0.35846146788081434,3,6,300,87,0,1,4
2,10,8,3.27742707390071,0.327742707390071,3,3,300,87,0,1,4
2,11,8,3.3292188347455776,0.3026562577041434,3,3,300,87,0,1,4
2,12,8,3.379958615538988,0.28166321796158234,3,3,300,87,0,1,4
2,13,8,3.4337449937196984,0.26413423028613064,3,2,300,87,0,1,4
2,14,8,3.4791790845049855,0.2485127917503561,3,1,300,87,0,1,4
2,15,8,3.5331817797844574,0.23554545198563048,3,1,300,87,5,1,4
2,16,7,3.585343806028299,0.2240839878767687,2,3,300,87,4,1,4
2,17,7,6.236419194116174,0.3668481878891867,2,3,606,81,4,1,4
2,18,7,6.283566453165375,0.34908702517585416,2,3,606,81,5,1,4
2,19,7,6.339294948364164,0.3336471025454823,2,3,606,81,4,1,4
2,20,7,6.394846600387322,0.31974233001936614,2,6,606,81,4,1,4
2,21,7,6.44321913001053,0.30681995857193,2,4,606,81,3,1,4
2,22,7,6.494258912619739,0.2951935869372609,2,2,606,81,3,1,4
2,23,7,6.550523858433885,0.2848053851492994,2,2,606,81,4,1,4
2,24,7,6.602434830526609,0.275101451271942,2,1,606,81,5,1,4
2,25,7,6.6575352956083735,0.2663014118243349,2,1,606,81,6,1,4
2,26,7,6.69788988196508,0.2576111493063492,2,1,606,81,6,1,4
2,27,6,6.7337677306994275,0.24939880484071952,4,6,606,81,4,1,4
2,28,6,9.873984632012249,0.35264230828615173,4,6,959,123,4,1,4
2,29,6,9.911331305426327,0.34177004501470093,4,6,959,123,4,1,4
2,30,6,9.952894978048555,0.3317631659349518,4,6,959,123,3,1,4
2,31,6,9.993392460006998,0.32236749870990317,4,6,959,123,2,1,4
2,32,6,10.030038866024718,0.31343871456327244,4,5,959,123,3,1,4
